,Adenandra uniflora,Adenandra villosa,Adenocline pauciflora,Agathosma ciliaris,Agathosma hookeri,Agathosma imbricata,Agathosma lanceolata,Agathosma serpyllacea,Aizoon paniculatum,Amphithalea ericifolia,Anaxeton laeve,Anemone knowltonia,Anthochortus laxiflorus,Anthospermum aethiopicum,Anthospermum bergianum,Anthospermum galioides,Apium decumbens,Arctotis aspera,Argyrolobium filiforme,Aristea africana,Aristea capitata,Aristea glauca,Aspalathus abietina,Aspalathus argyrella,Aspalathus callosa,Aspalathus capensis,Aspalathus carnosa,Aspalathus chenopoda,Aspalathus divaricata,Aspalathus ericifolia,Aspalathus hispida,Aspalathus laricifolia,Aspalathus linguiloba,Aspalathus microphylla,Aspalathus retroflexa,Aspalathus sericea,Aspalathus serpens,Asparagus aethiopicus,Asparagus capensis,Asparagus lignosus,Asparagus rubicundus,Berkheya barbata,Berzelia abrotanoides,Berzelia lanuginosa,Bobartia filiformis,Bobartia gladiata,Bobartia indica,Bolusafra bituminosa,Bulbine abyssinica,Caesia contorta,Capelio tabularis,Capeobolus brevicaulis,Capeochloa cincta,Carpacoce spermacocea,Carpacoce vaginellata,Carpobrotus acinaciformis,Cassine peragua,Cassytha ciliolata,Centella affinis,Centella glabrata,Centella macrocarpa,Centella tridentata,Chironia baccifera,Chironia decumbens,Chironia linoides,Chrysocoma coma-aurea,Cineraria geifolia,Cliffortia atrata,Cliffortia falcata,Cliffortia ferruginea,Cliffortia filifolia,Cliffortia glauca,Cliffortia obcordata,Cliffortia polygonifolia,Cliffortia ruscifolia,Cliffortia stricta,Cliffortia subsetacea,Clutia alaternoides,Clutia ericoides,Clutia polygonoides,Coleonema album,Conyza pinnatifida,Corymbium africanum,Corymbium glabrum,Crassula capensis,Crassula coccinea,Crassula cymosa,Crassula fascicularis,Crassula flava,Crassula nudicaulis,Crassula subulata,Cullumia squarrosa,Cussonia thyrsiflora,Cymbopogon marginatus,Cynanchum africanum,Cynanchum obtusifolium,Cynodon dactylon,Cyperus thunbergii,Diastella divaricata,Dilatris corymbosa,Dilatris pillansii,Dimorphotheca nudicaulis,Diosma hirsuta,Diosma oppositifolia,Diospyros glabra,Dischisma ciliatum,Disparago anomala,Disparago tortilis,Drosanthemum candens,Drosera aliciae,Drosera trinervia,Edmondia sesamoides,Ehrharta bulbosa,Ehrharta calycina,Ehrharta ramosa,Ehrharta rehmannii,Ehrharta villosa,Elegia cuspidata,Elegia filacea,Elegia hookeriana,Elegia juncea,Elegia microcarpa,Elegia neesii,Elegia nuda,Elegia stipularis,Elegia vaginulata,Elytropappus scaber,Epischoenus quadrangularis,Erepsia anceps,Erepsia bracteata,Erepsia promontorii,Erica abietina,Erica axillaris,Erica capensis,Erica capillaris,Erica cerinthoides,Erica clavisepala,Erica coarctata,Erica coccinea,Erica corifolia,Erica ericoides,Erica exleeana,Erica glabella,Erica gnaphaloides,Erica hispidula,Erica imbricata,Erica labialis,Erica laeta,Erica mammosa,Erica muscosa,Erica parviflora,Erica plukenetii,Erica pulchella,Erica similis,Erica subdivaricata,Eriocephalus africanus,Eriocephalus racemosus,Euclea racemosa,Euphorbia erythrina,Euphorbia genistoides,Euphorbia silenifolia,Euphorbia tuberosa,Euryops abrotanifolius,Exomis microphylla,Falkia repens,Felicia fruticosa,Festuca scabra,Ficinia anceps,Ficinia brevifolia,Ficinia bulbosa,Ficinia deusta,Ficinia ecklonea,Ficinia lateralis,Ficinia nigrescens,Ficinia nodosa,Ficinia oligantha,Ficinia paradoxa,Ficinia pinguior,Ficinia ramosissima,Ficinia rigida,Ficinia secunda,Ficinia zeyheri,Frankenia repens,Galium tomentosum,Gazania pectinata,Geochloa rufa,Geranium incanum,Gerbera crocea,Glia prolifera,Gnidia imbricata,Gnidia pinifolia,Gnidia simplex,Haplocarpha lanata,Harveya pauciflora,Helichrysum cymosum,Helichrysum dasyanthum,Helichrysum niveum,Helichrysum patulum,Helichrysum tinctum,Heliophila elongata,Heliophila linearis,Heliophila scoparia,Hermannia multiflora,Hermannia ternifolia,Hermas villosa,Hippia pilosa,Hypodiscus albo-aristatus,Hypodiscus aristatus,Hypodiscus willdenowia,Ifloga ambigua,Indigofera angustifolia,Indigofera brachystachya,Indigofera candolleana,Indigofera glomerata,Indigofera sarmentosa,Itasina filifolia,Juncus kraussii,Kedrostis nana,Lachnaea densiflora,Lachnaea grandiflora,Lampranthus austricolus,Lampranthus bicolor,Lampranthus falciformis,Lampranthus promontorii,Lampranthus stenus,Laurembergia repens,Lebeckia meyeriana,Leucadendron coniferum,Leucadendron laureolum,Leucadendron salignum,Leucadendron xanthoconus,Leucospermum conocarpodendron,Leucospermum hypophyllocarpodendron,Limonium scabrum,Linum africanum,Linum thunbergii,Liparia parva,Lobelia anceps,Lobelia comosa,Lobelia coronopifolia,Lobelia pinifolia,Lobelia setacea,Lobostemon fruticosus,Lyperia lychnidea,Macrostylis villosa,Manulea tomentosa,Mastersiella digitata,Maurocenia frangula,Metalasia brevifolia,Metalasia cephalotes,Metalasia muricata,Microdon dubius,Mimetes fimbriifolius,Monopsis lutea,Morella quercifolia,Muraltia acipetala,Muraltia filiformis,Muraltia rosmarinifolia,Muraltia thunbergii,Myrsine africana,Oedera imbricata,Olea capensis,Olea exasperata,Osmitopsis asteriscoides,Osteospermum moniliferum,Osteospermum polygaloides,Othonna digitata,Passerina corymbosa,Passerina paleacea,Pelargonium betulinum,Pelargonium capitatum,Pelargonium cucullatum,Pelargonium longifolium,Pelargonium myrrhifolium,Pelargonium tabulare,Pelargonium triste,Penaea mucronata,Pentameris aurea,Pentameris colorata,Pentameris curvifolia,Pentameris macrocalycina,Pentameris malouinensis,Pentameris pallida,Pentameris scabra,Petalacte coronata,Phaenocoma prolifera,Pharnaceum cordifolium,Pharnaceum lanuginosum,Phylica buxifolia,Phylica imberbis,Phylica parviflora,Plantago crassifolia,Platycaulos compressus,Plecostachys serpyllifolia,Polpoda capensis,Polyarrhena reflexa,Polygala bracteolata,Polygala garcinii,Polygala recognita,Prismatocarpus sessilis,Protea acaulos,Protea cynaroides,Protea lepidocarpodendron,Pseudopentameris macrantha,Pseudoselago serrata,Pseudoselago spuria,Psoralea asarina,Psoralea imbricata,Psoralea pinnata,Psoralea repens,Pteridium aquilinum,Pterocelastrus tricuspidatus,Rafnia crassifolia,Restio bifurcus,Restio calcicola,Restio capensis,Restio cincinnatus,Restio dodii,Restio egregius,Restio eleocharis,Restio paludosus,Restio parvispiculus,Restio quinquefarius,Restio ramosissimus,Restio triticeus,Restio vimineus,Rhynchosia ferulifolia,Robsonodendron maritimum,Roella amplexicaulis,Roella ciliata,Roella decurrens,Roella prostrata,Roella recurvata,Roella squarrosa,Roella triflora,Roepera spinosa,Rumex sagittatus,Ruschia sarmentosa,Saltera sarcocolla,Salvia africana-lutea,Samolus valerandi,Scabiosa africana,Schizaea pectinata,Searsia glauca,Searsia laevigata,Searsia lucens,Searsia rosmarinifolia,Selago levynsiae,Selago luxurians,Senecio arniciflorus,Senecio burchellii,Senecio pubigerus,Senecio triqueter,Senecio umbellatus,Serruria glomerata,Serruria villosa,Sideroxylon inerme,Silene burchellii,Soroveta ambigua,Spergularia media,Sporobolus virginicus,Staavia radiata,Staberoha banksii,Staberoha cernua,Staberoha distachyos,Stenotaphrum secundatum,Stilbe ericoides,Stilbe vestita,Stoebe capitata,Stoebe cyathuloides,Stoebe incana,Stoebe plumosa,Stoebe rosea,Struthiola ciliata,Struthiola dodecandra,Struthiola salteri,Stylapterus fruticulosus,Syncarpha canescens,Syncarpha gnaphaloides,Syncarpha speciosissima,Syncarpha vestita,Tarchonanthus littoralis,Tetragonia fruticosa,Tetraria bromoides,Tetraria compar,Tetraria cuspidata,Tetraria eximia,Tetraria fasciata,Tetraria flexuosa,Tetraria microstachys,Tetraria pygmaea,Tetraria sylvatica,Tetraria thermalis,Tetraria ustulata,Thamnochortus erectus,Thamnochortus fraternus,Thamnochortus fruticosus,Thamnochortus lucens,Thesidium hirtum,Thesium acuminatum,Thesium aggregatum,Thesium carinatum,Thesium spicatum,Thesium strictum,Thesium virgatum,Thesium viridifolium,Trachyandra hirsutiflora,Trachyandra revoluta,Trachyandra tabularis,Tribolium hispidum,Tribolium uniolae,Trichocephalus stipularis,Ursinia paleacea,Ursinia tenuifolia,Vellereophyton dealbatum,Wachendorfia paniculata,Wahlenbergia longifolia,Wahlenbergia obovata,Wahlenbergia parvifolia,Wahlenbergia pyrophila,Wahlenbergia tenella,Watsonia tabularis,Willdenowia glomerata,Willdenowia humilis,Willdenowia incurvata,Willdenowia teres,Zantedeschia aethiopica
CP_59,0,23,0,0,7,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,23,0,0,23,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,7,7,0,0,7,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,23,0,0,0,0
CP_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_61,200.5,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,69,0,0,2,0,0,0,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,2,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0
CP_62,0,2,0,0,23,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_63,0,2,0,0,2,23,0,0,0,2,0,0,0,0,23,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CP_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23,69,0,0,23,0,0,0,0,0,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,7,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CP_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_66,0,7,0,0,0,0,0,0,0,0,7,0,0,2,0,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,2,23,0,0,0,0,0,7,0,0,2,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,7,0,0,0,0,23,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_67,0,23,0,0,0,0,0,0,0,23,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,23,0,0,23,0,0,2,0,0,23,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,23,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,7,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,69,0,0,0,23,0,0,2,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0
CP_68,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,69,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0
CP_70,0,0,2,0,0,69,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,200.5,0,0,0,0,0,2,0,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,2,0,0,69,0,0,7,2,0,0,0,0,0,0,0,0,7,0,2,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,7,0,0,0,0,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,69,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,23,0,0,2,0,0,23,0,23,0,2,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
