,Adenandra uniflora,Adenandra villosa,Adenocline pauciflora,Agathosma bifida,Agathosma capensis,Agathosma ciliaris,Agathosma hookeri,Agathosma imbricata,Agathosma serpyllacea,Aizoon paniculatum,Aizoon sarmentosum,Amphithalea ericifolia,Anaxeton laeve,Anemone knowltonia,Anisodontea scabrosa,Annesorhiza altiscapa,Anthochortus capensis,Anthospermum aethiopicum,Anthospermum bergianum,Anthospermum galioides,Arctotis acaulis,Arctotis aspera,Arctotis stoechadifolia,Aristea africana,Aristea capitata,Aspalathus abietina,Aspalathus callosa,Aspalathus capensis,Aspalathus carnosa,Aspalathus chenopoda,Aspalathus divaricata,Aspalathus ericifolia,Aspalathus hispida,Aspalathus laricifolia,Aspalathus linguiloba,Aspalathus microphylla,Aspalathus serpens,Asparagus capensis,Asparagus lignosus,Asparagus rubicundus,Berkheya barbata,Berzelia abrotanoides,Berzelia lanuginosa,Bobartia gladiata,Bobartia indica,Caesia contorta,Capelio tabularis,Capeochloa cincta,Carpacoce vaginellata,Carpobrotus acinaciformis,Carpobrotus edulis,Cassine peragua,Cassytha ciliolata,Centella affinis,Centella glabrata,Centella tridentata,Chenolea diffusa,Chironia decumbens,Chironia linoides,Chrysocoma coma-aurea,Cineraria geifolia,Cliffortia atrata,Cliffortia falcata,Cliffortia ferruginea,Cliffortia filifolia,Cliffortia glauca,Cliffortia obcordata,Cliffortia polygonifolia,Cliffortia ruscifolia,Cliffortia stricta,Cliffortia subsetacea,Clutia alaternoides,Clutia ericoides,Coleonema album,Corymbium africanum,Corymbium glabrum,Crassula coccinea,Crassula cymosa,Crassula fascicularis,Crassula muscosa,Crassula subulata,Cullumia squarrosa,Cymbopogon marginatus,Cynanchum obtusifolium,Cynodon dactylon,Cyphia linarioides,Diastella divaricata,Dilatris corymbosa,Dilatris pillansii,Dimorphotheca nudicaulis,Diosma hirsuta,Diosma oppositifolia,Diospyros glabra,Dischisma ciliatum,Disparago anomala,Disparago tortilis,Drosanthemum candens,Drosera aliciae,Edmondia sesamoides,Ehrharta calycina,Ehrharta ramosa,Ehrharta setacea,Ehrharta villosa,Elegia cuspidata,Elegia filacea,Elegia juncea,Elegia microcarpa,Elegia neesii,Elegia nuda,Elegia stipularis,Elegia tectorum,Elegia thyrsifera,Elegia vaginulata,Elytropappus scaber,Epischoenus quadrangularis,Erepsia bracteata,Erepsia promontorii,Erica abietina,Erica axillaris,Erica bruniades,Erica capensis,Erica capillaris,Erica cerinthoides,Erica clavisepala,Erica coarctata,Erica coccinea,Erica corifolia,Erica eburnea,Erica ericoides,Erica exleeana,Erica glabella,Erica gnaphaloides,Erica hispidula,Erica imbricata,Erica labialis,Erica laeta,Erica mammosa,Erica muscosa,Erica palliiflora,Erica plukenetii,Erica pulchella,Erica similis,Erica spumosa,Erica subdivaricata,Erica tristis,Eriocephalus africanus,Eriocephalus racemosus,Euclea racemosa,Euphorbia caput-medusae,Euphorbia erythrina,Euphorbia genistoides,Euphorbia tuberosa,Euryops abrotanifolius,Exomis microphylla,Felicia fruticosa,Ficinia acuminata,Ficinia anceps,Ficinia bulbosa,Ficinia capitella,Ficinia deusta,Ficinia dunensis,Ficinia ecklonea,Ficinia indica,Ficinia nigrescens,Ficinia nodosa,Ficinia oligantha,Ficinia paradoxa,Ficinia pinguior,Ficinia ramosissima,Ficinia secunda,Ficinia stolonifera,Galium tomentosum,Geochloa rufa,Geranium incanum,Gerbera crocea,Glia prolifera,Gnidia imbricata,Gnidia pinifolia,Gnidia simplex,Helichrysum crispum,Helichrysum cymosum,Helichrysum dasyanthum,Helichrysum niveum,Helichrysum patulum,Hermannia multiflora,Hermannia ternifolia,Hermas villosa,Hippia pilosa,Hypodiscus albo-aristatus,Hypodiscus aristatus,Hypodiscus willdenowia,Ifloga ambigua,Indigofera angustifolia,Indigofera brachystachya,Indigofera candolleana,Indigofera glomerata,Isolepis marginata,Itasina filifolia,Juncus capensis,Juncus kraussii,Kedrostis nana,Lachnaea densiflora,Lachnaea grandiflora,Lampranthus austricolus,Lampranthus bicolor,Lampranthus falciformis,Lampranthus promontorii,Lampranthus stenus,Lampranthus tenuifolius,Leucadendron coniferum,Leucadendron laureolum,Leucadendron salignum,Leucadendron xanthoconus,Leucospermum conocarpodendron,Leucospermum hypophyllocarpodendron,Lichtensteinia lacera,Limonium scabrum,Linum africanum,Liparia parva,Lobelia anceps,Lobelia coronopifolia,Lobelia pinifolia,Lobelia setacea,Macrostylis villosa,Mastersiella digitata,Maytenus lucida,Mesembryanthemum crystallinum,Metalasia brevifolia,Metalasia cephalotes,Metalasia muricata,Microdon dubius,Mimetes fimbriifolius,Monopsis lutea,Morella cordifolia,Morella quercifolia,Muraltia acipetala,Muraltia demissa,Muraltia pageae,Muraltia rosmarinifolia,Muraltia satureioides,Muraltia spinosa,Muraltia thunbergii,Myrsine africana,Olea capensis,Olea exasperata,Osmitopsis asteriscoides,Osteospermum moniliferum,Osteospermum polygaloides,Othonna digitata,Passerina corymbosa,Passerina paleacea,Pelargonium betulinum,Pelargonium capitatum,Pelargonium cucullatum,Pelargonium grossularioides,Pelargonium longifolium,Pelargonium myrrhifolium,Pelargonium triste,Penaea mucronata,Pentameris acinosa,Pentameris colorata,Pentameris curvifolia,Pentameris macrocalycina,Pentameris malouinensis,Pentameris pallida,Pentameris scabra,Petalacte coronata,Phaenocoma prolifera,Pharnaceum lanuginosum,Phylica buxifolia,Phylica dodii,Phylica ericoides,Phylica imberbis,Phylica parviflora,Plantago crassifolia,Platycaulos compressus,Plecostachys serpyllifolia,Polpoda capensis,Polyarrhena reflexa,Polygala garcinii,Polygala myrtifolia,Polypogon strictus,Protea acaulos,Protea cynaroides,Protea lepidocarpodendron,Pseudopentameris macrantha,Pseudoselago spuria,Psoralea laxa,Psoralea pinnata,Pteridium aquilinum,Pterocelastrus tricuspidatus,Restio bifurcus,Restio calcicola,Restio capensis,Restio cincinnatus,Restio dodii,Restio egregius,Restio eleocharis,Restio filiformis,Restio leptostachyus,Restio paludosus,Restio parvispiculus,Restio quinquefarius,Restio ramosissimus,Restio sarocladus,Restio triticeus,Restio vimineus,Roella ciliata,Roella recurvata,Roella squarrosa,Roella triflora,Roepera flexuosa,Roepera spinosa,Ruschia promontorii,Ruschia sarmentosa,Saltera sarcocolla,Salvia africana-lutea,Samolus valerandi,Schizaea pectinata,Searsia glauca,Searsia laevigata,Searsia lucens,Searsia rosmarinifolia,Selago luxurians,Senecio arniciflorus,Senecio pubigerus,Senecio purpureus,Senecio triqueter,Senecio umbellatus,Serruria glomerata,Serruria villosa,Sideroxylon inerme,Solanum guineense,Soroveta ambigua,Spergularia media,Sporobolus virginicus,Staavia radiata,Staberoha banksii,Staberoha cernua,Staberoha distachyos,Stenotaphrum secundatum,Stilbe ericoides,Stilbe vestita,Stoebe capitata,Stoebe cyathuloides,Stoebe fusca,Stoebe incana,Stoebe plumosa,Struthiola ciliata,Struthiola dodecandra,Struthiola salteri,Stylapterus fruticulosus,Syncarpha speciosissima,Syncarpha vestita,Tarchonanthus littoralis,Tenaxia stricta,Tetragonia decumbens,Tetragonia fruticosa,Tetraria bromoides,Tetraria compar,Tetraria crassa,Tetraria cuspidata,Tetraria eximia,Tetraria fasciata,Tetraria fimbriolata,Tetraria flexuosa,Tetraria ligulata,Tetraria microstachys,Tetraria pygmaea,Tetraria sylvatica,Tetraria thermalis,Thamnochortus arenarius,Thamnochortus erectus,Thamnochortus fraternus,Thamnochortus fruticosus,Thamnochortus gracilis,Thamnochortus lucens,Thamnochortus obtusus,Thesidium hirtum,Thesium acuminatum,Thesium aggregatum,Thesium ericaefolium,Thesium pseudovirgatum,Thesium schumannianum,Thesium spicatum,Thesium strictum,Thesium virgatum,Thesium viridifolium,Trachyandra hirsutiflora,Trachyandra tabularis,Tribolium uniolae,Trichocephalus stipularis,Tylecodon paniculatus,Ursinia paleacea,Ursinia tenuifolia,Vellereophyton dealbatum,Viscum capense,Wachendorfia paniculata,Wahlenbergia longifolia,Wahlenbergia pyrophila,Wahlenbergia tenella,Watsonia meriana,Watsonia tabularis,Willdenowia glomerata,Willdenowia incurvata,Willdenowia teres
CP_62,0,2,0,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,23,0,0,0,23,0,0,0,0,7,0,0,0,0,0,7,0,0,23,0,0,0,0,23,0,0,2,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
CP_63,0,0,0,0,0,0,2,7,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,2,0,0,69,69,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,23,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,69,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,200.5,0,0,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,69,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,7,200.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,23,23,7,0,0,0,7,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
CP_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,200.5,0,0,0,200.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,69,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_66,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,69,0,0,0,0,0,0,7,200.5,0,23,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,69,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CP_67,0,23,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,7,0,23,0,0,2,0,0,0,0,0,69,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
CP_68,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200.5,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
CP_70,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,200.5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,23,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,200.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,69,0,2,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP_71,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,200.5,0,0,2,200.5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,200.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,200.5,0,0,0,0,2,0,0,0,0,0,0,0,2,23,0,0,0,0,23,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CP_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2,0,0,2,23,0,0,69,23,0,7,0,0,23,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200.5,0,0
CP_73,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.5,0,0,0,2,0,0,0,0,200.5,0,0,0,0,0,0,0,2,0,2,0,69,0,0,23,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0,0,0,0,0,0,2,0,7,2,7,0,0,0,23,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
CP_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,200.5,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,7,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,23,0,0,0,0,0,69,0,0,0,0,0,0,0,2,23,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
